"","param","2.5 %","97.5 %","method","estimate","code"
"132","rmax",4.05350548084449,4.96513928308065,"case bootstrap",4.46238163758391,"wp2"
"133","topt",26.1279907019341,30,"case bootstrap",27.711,"wp2"
"134","ctmin",-28.2538990523445,6.37369755829589,"case bootstrap",-1.931,"wp2"
"135","ctmax",32.3349606966232,54.2104642523899,"case bootstrap",34.222,"wp2"
"136","e",0.252037645045612,1.05501582851502,"case bootstrap",0.583401260511851,"wp2"
"137","eh",-0.79264616897961,0.951731582732375,"case bootstrap",0.213494626487833,"wp2"
"138","thermal_safety_margin",4.83554574306456,17.9528177319895,"case bootstrap",6.511,"wp2"
"139","thermal_tolerance",26.6388747351624,68.1089981164699,"case bootstrap",36.153,"wp2"
"140","breadth",5.42904404683067,10.4860010256357,"case bootstrap",7.386,"wp2"
"141","skewness",-0.708213539210986,1.46814627235685,"case bootstrap",0.369906634024018,"wp2"
"142","rmax",3.63499788791919,4.06521965796522,"case bootstrap",3.88273140705096,"hm2"
"143","topt",27.6215590071585,30,"case bootstrap",28.876,"hm2"
"144","ctmin",-9.81162437842933,4.62272683238153,"case bootstrap",-0.82,"hm2"
"145","ctmax",33.0581726024112,47.3574506057039,"case bootstrap",35.457,"hm2"
"146","e",0.388878667596543,0.796076797590673,"case bootstrap",0.580464099065858,"hm2"
"147","thermal_safety_margin",5.12684329547312,13.4547812155929,"case bootstrap",6.581,"hm2"
"148","thermal_tolerance",28.8087987515883,51.5437190918704,"case bootstrap",36.277,"hm2"
"149","breadth",4.75777586346842,7.88722336731687,"case bootstrap",6.302,"hm2"
"150","rmax",4.69300406195027,5.44914927181976,"case bootstrap",5.05632968849464,"gb3"
"151","topt",27.5731184126976,30,"case bootstrap",28.062,"gb3"
"152","ctmin",-8.5544823156637,8.09665440691763,"case bootstrap",2.561,"gb3"
"153","ctmax",32.4052915011795,45.947343235381,"case bootstrap",33.759,"gb3"
"154","e",0.381737618827777,0.900889437250147,"case bootstrap",0.629311968438468,"gb3"
"155","thermal_safety_margin",4.17058904849098,13.8109531489204,"case bootstrap",5.697,"gb3"
"156","thermal_tolerance",24.3479594169955,47.5294948582539,"case bootstrap",31.198,"gb3"
"157","breadth",3.82824670742275,8.05672437811996,"case bootstrap",6.458,"gb3"
"158","rmax",3.73964391286633,4.51041892408394,"case bootstrap",4.17500715718183,"wh3"
"159","topt",24.6157066743317,27.4832609838619,"case bootstrap",26.798,"wh3"
"160","ctmin",-18.8563558710473,3.61736564211655,"case bootstrap",-3.728,"wh3"
"161","ctmax",32.2361957809308,36.0581801284363,"case bootstrap",33.418,"wh3"
"162","e",0.277174340479446,0.785167326820194,"case bootstrap",0.55354540040183,"wh3"
"163","eh",-1.21437172461887,1.51662489702226,"case bootstrap",0.493894342003952,"wh3"
"164","thermal_safety_margin",5.14233636836095,9.11209420993938,"case bootstrap",6.62,"wh3"
"165","thermal_tolerance",28.6931736563388,54.152434395574,"case bootstrap",37.146,"wh3"
"166","breadth",7.00194320354326,11.4439546168353,"case bootstrap",8.326,"wh3"
"167","skewness",-1.08723864682725,1.68076914949508,"case bootstrap",0.0596510583978778,"wh3"
"168","rmax",4.21680820146792,5.07334298146758,"case bootstrap",4.72893303560684,"oy3"
"169","topt",28.361958605436,30,"case bootstrap",29.599,"oy3"
"170","ctmin",-3.95559417925298,15.077154316389,"case bootstrap",5.261,"oy3"
"171","ctmax",31.967278219309,46.446452365512,"case bootstrap",34.856,"oy3"
"172","e",0.536482362097368,1.75795005584493,"case bootstrap",0.749089978971305,"oy3"
"173","q10",2.27665504018976,5.34885079966409,"case bootstrap",2.68752843279806,"oy3"
"174","thermal_safety_margin",3.24787751946105,14.123654737714,"case bootstrap",5.257,"oy3"
"175","thermal_tolerance",17.5349319498854,47.2798153289827,"case bootstrap",29.595,"oy3"
"176","breadth",3.19234655260466,6.61332775498327,"case bootstrap",4.741,"oy3"
"177","rmax",3.2494095178577,5.18936222303329,"case bootstrap",4.3939743725572,"bf3"
"178","topt",25.9075842260481,27.9922122882761,"case bootstrap",27.243,"bf3"
"179","ctmin",-18.4779597000969,5.42682292591913,"case bootstrap",1.12,"bf3"
"180","ctmax",31.7262927419142,39.958,"case bootstrap",32.755,"bf3"
"181","e",0.233310847680049,1.05128186711497,"case bootstrap",0.890498980687658,"bf3"
"182","eh",-3.75368496821374,1.56114887039245,"case bootstrap",0.00903424508189841,"bf3"
"183","q10",2.38737375308212,3.95129922207809,"case bootstrap",3.27397115548338,"bf3"
"184","thermal_safety_margin",4.15008227840297,10.5081345730246,"case bootstrap",5.51199999999999,"bf3"
"185","thermal_tolerance",26.5883071627635,60.3061578834057,"case bootstrap",31.635,"bf3"
"186","breadth",5.41302006241944,9.307,"case bootstrap",6.949,"bf3"
"187","skewness",-0.657765904600196,4.64981367330186,"case bootstrap",0.881464735605759,"bf3"
"188","rmax",3.06136024975033,4.31014355025437,"case bootstrap",3.69818857580622,"fb3"
"189","topt",26.0263195170904,30,"case bootstrap",28.108,"fb3"
"190","ctmin",-26.9908518862112,6.18094414838162,"case bootstrap",-1.422,"fb3"
"191","ctmax",32.1397059336004,52.0825362746157,"case bootstrap",34.555,"fb3"
"192","e",0.168613908871334,0.860744087471307,"case bootstrap",0.468192640259494,"fb3"
