numero,param,conf_lower,conf_upper,method,estimate,code,pop,bin
131,skewness,0.274077346,1.621422484,case bootstrap,0.723789311,sk2,sk,2
132,rmax,3.966353939,4.809497199,case bootstrap,4.462389916,wp2,wp,2
133,topt,26.32465838,29.19777079,case bootstrap,27.711,wp2,wp,2
134,ctmin,-19.83843652,6.960482184,case bootstrap,-1.93,wp2,wp,2
135,ctmax,32.47896387,41.70642017,case bootstrap,34.222,wp2,wp,2
136,e,0.278658186,1.073972235,case bootstrap,0.583401261,wp2,wp,2
137,eh,-0.796920754,0.95170576,case bootstrap,0.213494626,wp2,wp,2
138,thermal_safety_margin,4.7200457,11.03777268,case bootstrap,6.511,wp2,wp,2
139,thermal_tolerance,25.77397731,59.31209676,case bootstrap,36.152,wp2,wp,2
140,breadth,5.516329002,10.06460265,case bootstrap,7.386,wp2,wp,2
141,skewness,-0.509824043,1.458577743,case bootstrap,0.369906634,wp2,wp,2
142,rmax,3.620572192,4.080496985,case bootstrap,3.882731717,hm2,hm,2
143,topt,27.51494017,30,case bootstrap,28.876,hm2,hm,2
144,ctmin,-13.41076208,4.371919103,case bootstrap,-0.82,hm2,hm,2
145,ctmax,33.42206557,44.74404387,case bootstrap,35.457,hm2,hm,2
146,e,0.3295758,0.788297098,case bootstrap,0.580464099,hm2,hm,2
147,thermal_safety_margin,5.24659709,13.62346542,case bootstrap,6.581,hm2,hm,2
148,thermal_tolerance,29.60707196,57.38750499,case bootstrap,36.277,hm2,hm,2
149,breadth,4.879868416,8.943553446,case bootstrap,6.302,hm2,hm,2
150,rmax,4.643354328,5.353954795,case bootstrap,5.056312756,gb3,gb,3
151,topt,27.55843945,30,case bootstrap,28.062,gb3,gb,3
152,ctmin,-9.094189248,7.989881699,case bootstrap,2.561,gb3,gb,3
153,ctmax,32.40001336,39.14207127,case bootstrap,33.759,gb3,gb,3
154,e,0.315309468,0.852214869,case bootstrap,0.629311968,gb3,gb,3
155,thermal_safety_margin,4.20873938,9.554636582,case bootstrap,5.697,gb3,gb,3
156,thermal_tolerance,24.28020092,47.41887592,case bootstrap,31.198,gb3,gb,3
157,breadth,3.604961557,8.250236833,case bootstrap,6.458,gb3,gb,3
158,rmax,3.673972374,4.580102529,case bootstrap,4.175019511,wh3,wh,3
159,topt,25.79403569,27.70635409,case bootstrap,26.798,wh3,wh,3
160,ctmin,-25.79058699,2.226801971,case bootstrap,-3.728,wh3,wh,3
161,ctmax,32.28322755,40.58426133,case bootstrap,33.418,wh3,wh,3
162,e,0.102531165,0.768877765,case bootstrap,0.5535454,wh3,wh,3
163,eh,-1.203846618,1.521221181,case bootstrap,0.493894342,wh3,wh,3
164,thermal_safety_margin,5.443222032,16.37257864,case bootstrap,6.62,wh3,wh,3
165,thermal_tolerance,30.38311274,63.12016967,case bootstrap,37.146,wh3,wh,3
166,breadth,7.028034338,11.0403693,case bootstrap,8.326,wh3,wh,3
167,skewness,-0.929257824,1.83622158,case bootstrap,0.059651058,wh3,wh,3
168,rmax,4.150625553,5.09845787,case bootstrap,4.718432882,oy3,oy,3
169,topt,28.54469151,30,case bootstrap,29.425,oy3,oy,3
170,ctmin,-6.587079362,12.90029298,case bootstrap,1.637,oy3,oy,3
171,ctmax,32.48333295,51.667,case bootstrap,35.098,oy3,oy,3
172,e,0.484872928,1.316056663,case bootstrap,0.749089979,oy3,oy,3
173,q10,2.306222523,4.315306096,case bootstrap,2.687528433,oy3,oy,3
174,thermal_safety_margin,3.581884577,19.91964751,case bootstrap,5.673,oy3,oy,3
175,thermal_tolerance,19.51981505,48.66946228,case bootstrap,33.461,oy3,oy,3
176,breadth,3.855721862,7.311,case bootstrap,4.825,oy3,oy,3
177,rmax,3.380505909,5.328443983,case bootstrap,4.393941844,bf3,bf,3
178,topt,25.77265998,28.0934404,case bootstrap,27.243,bf3,bf,3
179,ctmin,-23.81233255,5.355895512,case bootstrap,1.12,bf3,bf,3
