WTMP,DateTimeStamp,site
14.8217,11/22/2018 15:09,to3
14.8578,11/22/2018 15:39,to3
14.8701,11/22/2018 16:09,to3
14.8909,11/22/2018 16:39,to3
14.8994,11/22/2018 17:09,to3
14.9152,11/22/2018 17:39,to3
14.9647,11/22/2018 18:09,to3
15.0042,11/22/2018 18:39,to3
14.9491,11/22/2018 19:09,to3
14.9796,11/22/2018 19:39,to3
15.0488,11/22/2018 20:09,to3
15.1477,11/22/2018 20:39,to3
15.2205,11/22/2018 21:09,to3
15.368,11/22/2018 21:39,to3
15.4726,11/22/2018 22:09,to3
15.5408,11/22/2018 22:39,to3
15.5203,11/22/2018 23:09,to3
15.5782,11/22/2018 23:39,to3
15.6845,11/23/2018 0:09,to3
15.7325,11/23/2018 0:39,to3
15.7682,11/23/2018 1:09,to3
15.7564,11/23/2018 1:39,to3
15.7197,11/23/2018 2:09,to3
15.7377,11/23/2018 2:39,to3
15.6839,11/23/2018 3:09,to3
15.6865,11/23/2018 3:39,to3
15.4987,11/23/2018 4:09,to3
15.4911,11/23/2018 4:39,to3
15.3437,11/23/2018 5:09,to3
15.3354,11/23/2018 5:39,to3
15.3167,11/23/2018 6:09,to3
15.2857,11/23/2018 6:39,to3
15.1809,11/23/2018 7:09,to3
15.2587,11/23/2018 7:39,to3
15.2368,11/23/2018 8:09,to3
15.2029,11/23/2018 8:39,to3
15.1002,11/23/2018 9:09,to3
15.1723,11/23/2018 9:39,to3
15.1918,11/23/2018 10:09,to3
15.1654,11/23/2018 10:39,to3
14.6335,11/23/2018 11:09,to3
14.7642,11/23/2018 11:39,to3
14.8665,11/23/2018 12:09,to3
14.9265,11/23/2018 12:39,to3
14.9185,11/23/2018 13:09,to3
14.9153,11/23/2018 13:39,to3
15.0983,11/23/2018 14:09,to3
14.843,11/23/2018 14:39,to3
14.4857,11/23/2018 15:09,to3
14.5794,11/23/2018 15:39,to3
14.8402,11/23/2018 16:09,to3
14.7041,11/23/2018 16:39,to3
14.7541,11/23/2018 17:09,to3
14.8147,11/23/2018 17:39,to3
14.8677,11/23/2018 18:09,to3
14.8804,11/23/2018 18:39,to3
14.8741,11/23/2018 19:09,to3
14.8652,11/23/2018 19:39,to3
14.9012,11/23/2018 20:09,to3
14.919,11/23/2018 20:39,to3
14.9634,11/23/2018 21:09,to3
15.1172,11/23/2018 21:39,to3
15.0995,11/23/2018 22:09,to3
15.1448,11/23/2018 22:39,to3
15.2213,11/23/2018 23:09,to3
15.2339,11/23/2018 23:39,to3
15.2464,11/24/2018 0:09,to3
15.2271,11/24/2018 0:39,to3
15.1919,11/24/2018 1:09,to3
15.0473,11/24/2018 1:39,to3
14.8984,11/24/2018 2:09,to3
14.8214,11/24/2018 2:39,to3
15.0643,11/24/2018 3:09,to3
15.106,11/24/2018 3:39,to3
15.1536,11/24/2018 4:09,to3
15.0162,11/24/2018 4:39,to3
14.8177,11/24/2018 5:09,to3
14.9279,11/24/2018 5:39,to3
14.8664,11/24/2018 6:09,to3
14.6317,11/24/2018 6:39,to3
14.8332,11/24/2018 7:09,to3
14.9047,11/24/2018 7:39,to3
14.903,11/24/2018 8:09,to3
14.8964,11/24/2018 8:39,to3
14.8932,11/24/2018 9:09,to3
14.8396,11/24/2018 9:39,to3
14.8421,11/24/2018 10:09,to3
14.8547,11/24/2018 10:39,to3
14.8786,11/24/2018 11:09,to3
14.7553,11/24/2018 11:39,to3
13.6221,11/24/2018 12:09,to3
14.2577,11/24/2018 12:39,to3
14.4718,11/24/2018 13:09,to3
14.4612,11/24/2018 13:39,to3
14.1903,11/24/2018 14:09,to3
14.3045,11/24/2018 14:39,to3
14.2829,11/24/2018 15:09,to3
14.0999,11/24/2018 15:39,to3
14.1786,11/24/2018 16:09,to3
14.5072,11/24/2018 16:39,to3
14.2975,11/24/2018 17:09,to3
14.3379,11/24/2018 17:39,to3
14.5055,11/24/2018 18:09,to3
14.4566,11/24/2018 18:39,to3
14.5632,11/24/2018 19:09,to3
14.5782,11/24/2018 19:39,to3
14.6496,11/24/2018 20:09,to3
14.6985,11/24/2018 20:39,to3
14.7122,11/24/2018 21:09,to3
14.7111,11/24/2018 21:39,to3
14.7632,11/24/2018 22:09,to3
14.8564,11/24/2018 22:39,to3
14.9608,11/24/2018 23:09,to3
15.0025,11/24/2018 23:39,to3
14.9763,11/25/2018 0:09,to3
14.9755,11/25/2018 0:39,to3
14.9312,11/25/2018 1:09,to3
14.843,11/25/2018 1:39,to3
14.7033,11/25/2018 2:09,to3
14.4866,11/25/2018 2:39,to3
14.2624,11/25/2018 3:09,to3
14.4006,11/25/2018 3:39,to3
14.6375,11/25/2018 4:09,to3
14.685,11/25/2018 4:39,to3
14.7425,11/25/2018 5:09,to3
14.7121,11/25/2018 5:39,to3
14.6163,11/25/2018 6:09,to3
14.5226,11/25/2018 6:39,to3
14.4212,11/25/2018 7:09,to3
14.3973,11/25/2018 7:39,to3
14.4898,11/25/2018 8:09,to3
14.6611,11/25/2018 8:39,to3
14.563,11/25/2018 9:09,to3
14.6363,11/25/2018 9:39,to3
14.6246,11/25/2018 10:09,to3
14.5884,11/25/2018 10:39,to3
14.5895,11/25/2018 11:09,to3
14.4793,11/25/2018 11:39,to3
14.531,11/25/2018 12:09,to3
13.8325,11/25/2018 12:39,to3
13.8844,11/25/2018 13:09,to3
14.0782,11/25/2018 13:39,to3
14.0871,11/25/2018 14:09,to3
13.8992,11/25/2018 14:39,to3
13.9584,11/25/2018 15:09,to3
14.0635,11/25/2018 15:39,to3
13.968,11/25/2018 16:09,to3
13.6546,11/25/2018 16:39,to3
14.2851,11/25/2018 17:09,to3
14.2713,11/25/2018 17:39,to3
14.2581,11/25/2018 18:09,to3
14.3344,11/25/2018 18:39,to3
14.4095,11/25/2018 19:09,to3
14.4493,11/25/2018 19:39,to3
14.4646,11/25/2018 20:09,to3
14.5026,11/25/2018 20:39,to3
14.5575,11/25/2018 21:09,to3
14.6055,11/25/2018 21:39,to3
14.6144,11/25/2018 22:09,to3
14.6329,11/25/2018 22:39,to3
14.7055,11/25/2018 23:09,to3
14.751,11/25/2018 23:39,to3
14.7518,11/26/2018 0:09,to3
14.757,11/26/2018 0:39,to3
14.7211,11/26/2018 1:09,to3
14.7049,11/26/2018 1:39,to3
14.6455,11/26/2018 2:09,to3
14.5402,11/26/2018 2:39,to3
14.3488,11/26/2018 3:09,to3
14.123,11/26/2018 3:39,to3
14.0291,11/26/2018 4:09,to3
14.4033,11/26/2018 4:39,to3
14.4688,11/26/2018 5:09,to3
14.5682,11/26/2018 5:39,to3
14.5191,11/26/2018 6:09,to3
14.454,11/26/2018 6:39,to3
14.6407,11/26/2018 7:09,to3
