WTMP,DateTimeStamp,site
30.3,7/15/2018 21:18,fb
30.3,7/15/2018 21:24,fb
30.3,7/15/2018 21:30,fb
30.3,7/15/2018 21:36,fb
30.3,7/15/2018 21:42,fb
30.3,7/15/2018 21:48,fb
30.3,7/15/2018 22:18,fb
30.3,7/15/2018 22:24,fb
30.3,7/15/2018 22:30,fb
30.3,7/15/2018 22:36,fb
30.3,7/15/2018 22:42,fb
30.3,7/15/2018 22:54,fb
30.3,7/15/2018 23:00,fb
30.3,7/17/2018 19:42,fb
30.3,7/17/2018 19:54,fb
30.3,7/17/2018 20:00,fb
30.3,7/17/2018 20:06,fb
30.3,7/17/2018 20:12,fb
30.3,7/17/2018 20:18,fb
30.3,7/17/2018 20:24,fb
30.3,7/18/2018 20:12,fb
30.3,7/18/2018 20:18,fb
30.3,7/25/2018 19:24,fb
30.3,7/25/2018 19:42,fb
30.3,7/25/2018 20:30,fb
30.3,7/25/2018 21:30,fb
30.3,7/25/2018 21:36,fb
30.3,7/25/2018 21:42,fb
30.3,7/25/2018 21:48,fb
30.3,7/28/2018 19:00,fb
30.3,7/28/2018 19:30,fb
30.3,7/28/2018 19:36,fb
30.3,7/28/2018 19:42,fb
30.3,7/28/2018 20:06,fb
30.3,7/28/2018 20:36,fb
30.3,7/28/2018 22:06,fb
30.3,7/28/2018 22:12,fb
30.3,7/28/2018 22:18,fb
30.3,7/28/2018 22:24,fb
30.3,7/28/2018 23:18,fb
30.3,7/30/2018 21:36,fb
30.3,7/30/2018 22:00,fb
30.3,7/30/2018 22:06,fb
30.3,7/30/2018 22:18,fb
30.3,7/30/2018 22:24,fb
30.3,9/6/2018 17:42,fb
30.3,9/6/2018 18:54,fb
30.3,9/6/2018 19:00,fb
30.3,9/6/2018 19:06,fb
30.3,9/6/2018 19:18,fb
30.3,9/8/2018 19:30,fb
30.3,9/8/2018 19:36,fb
30.3,9/9/2018 20:36,fb
30.3,9/11/2018 16:54,fb
30.3,9/11/2018 17:00,fb
30.3,9/11/2018 17:06,fb
30.3,9/11/2018 17:12,fb
30.3,9/11/2018 17:18,fb
30.3,9/11/2018 22:36,fb
30.2,6/21/2018 15:36,fb
30.2,6/21/2018 16:00,fb
30.2,6/21/2018 16:06,fb
30.2,6/21/2018 23:00,fb
30.2,6/21/2018 23:06,fb
30.2,6/21/2018 23:12,fb
30.2,6/21/2018 23:18,fb
30.2,6/21/2018 23:30,fb
30.2,6/21/2018 23:36,fb
30.2,6/21/2018 23:42,fb
30.2,6/21/2018 23:48,fb
30.2,6/21/2018 23:54,fb
30.2,6/22/2018 0:00,fb
30.2,6/22/2018 0:06,fb
30.2,6/22/2018 4:18,fb
30.2,6/22/2018 16:42,fb
30.2,6/22/2018 17:18,fb
30.2,6/22/2018 18:12,fb
30.2,6/22/2018 18:30,fb
30.2,6/23/2018 5:36,fb
30.2,6/23/2018 17:00,fb
30.2,6/23/2018 18:48,fb
30.2,6/23/2018 18:54,fb
30.2,6/23/2018 19:00,fb
30.2,6/23/2018 19:30,fb
30.2,6/23/2018 19:36,fb
30.2,6/24/2018 17:36,fb
30.2,6/24/2018 17:42,fb
30.2,6/24/2018 17:48,fb
30.2,6/24/2018 19:24,fb
30.2,6/24/2018 19:30,fb
30.2,6/24/2018 19:42,fb
30.2,6/24/2018 19:48,fb
30.2,6/24/2018 19:54,fb
